證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8996,2015年第3季,,                539950,,                402963,                136987,                136987,,,                 75409,,                 34631,,                 20096,                130136,                  6851,,,                  2330,,                 27131,,                  3577,                 25884,                 32735,,                  4772,                 27963,                 27963,,,                  9720,                  9720,                  9720,                 37683,,                 27963,,                 37683,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,
8996,2015年第2季,,                490690,,                376613,                114077,                114077,,,                 42561,,                 30494,,                 19960,                 93015,                 21062,,,                  2438,,                 -6046,,                  3156,                 -6764,                 14298,,                   -643,                 14941,                 14941,,,                 -3106,                 -3106,                 -3106,                 11835,,                 14941,,                 11835,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
8996,2015年01月01日至2015年09月30日,,              1581831,,              1191741,                390090,                390090,,,                144507,,                100063,,                 60197,                304767,                 85323,,,                  6516,,                  5099,,                  9514,                  2101,                 87424,,                  9129,                 78295,                 78295,,,                  4385,                  4385,                  4385,                 82680,,                 78295,,                 82680,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,,,,,,,,,,,,,,,,,
8996,2015年01月01日至2015年06月30日,,              1041881,,                788778,                253103,                253103,,,                 69098,,                 65432,,                 40101,                174631,                 78472,,,                  4186,,                -22032,,                  5937,                -23783,                 54689,,                  4357,                 50332,                 50332,,,                 -5335,                 -5335,                 -5335,                 44997,,                 50332,,                 44997,,                              0.56,                              0.56,,                              0.56,                              0.56,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
8996,2015年01月01日至2015年03月31日,,                551191,,                412165,                139026,                139026,,,                 26537,,                 34938,,                 20141,                 81616,                 57410,,,                  1748,,                -15986,,                  2781,                -17019,                 40391,,                  5000,                 35391,                 35391,,,                 -2229,                 -2229,                 -2229,                 33162,,                 35391,,                 33162,,                              0.44,                              0.44,,                              0.44,                              0.44,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,                              0,                              0,                              0,,,
8996,2014年第3季,,                617924,,                471131,                146793,                146793,,,                 39785,,                 31792,,                 22884,                 94461,                 52332,,,                  2338,,                   -909,,                  2833,                 -1404,                 50928,,                  6890,                 44038,                 44038,,,                  5556,                  5556,                  5556,                 49594,,                 44038,,                 49594,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,,,,,,,,,,,,,
8996,2014年第2季,,                641353,,                463538,                177815,                177815,,,                 25663,,                 33707,,                 25422,                 84792,                 93023,,,                  1113,,                 -3202,,                  2522,                 -4611,                 88412,,                 12479,                 75933,                 75933,,,                 -3965,                 -3965,                 -3965,                 71968,,                 75933,,                 71968,,                              0.85,                              0.85,,                              0.85,                              0.85,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
8996,2014年度,,              2334681,,              1758778,                575903,                575903,,,                112537,,                136815,,                 97861,                347213,                228690,,,                  8191,,                 12835,,                 10819,                 10207,                238897,,                 40027,                198870,                198870,,,,,                  3403,                202273,,                198870,,                202273,,,                              2.45,,,                              2.44,,,,,,,,,,,,,,,,,,,,                  8577,                 -6233,                 -1059
8996,2014年01月01日至2014年09月30日,,              1812784,,              1347286,                465498,                465498,,,                 92414,,                100205,,                 68366,                260985,                204513,,,                  5799,,                 -3219,,                  7823,                 -5243,                199270,,                 30004,                169266,                169266,,,                  1363,                  1363,                  1363,                170629,,                169266,,                170629,,                              1.89,                              1.89,,                              1.89,                              1.89,,,,,,,,,,,,,,,,,,,,,,
8996,2014年01月01日至2014年06月30日,,              1194860,,                876155,                318705,                318705,,,                 52629,,                 68413,,                 45482,                166524,                152181,,,                  3461,,                 -2310,,                  4990,                 -3839,                148342,,                 23114,                125228,                125228,,,                 -4193,                 -4193,                 -4193,                121035,,                125228,,                121035,,                              1.40,                              1.40,,                              1.40,                              1.40,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
